estado,jogada
001000000000000000000000000000000000000000,2
001200000000000000000000000000000000000000,3
001200000010000000000000000000000000000000,3
001200000010000002000000000000000000000000,3
101200000010000002000000000000000000000000,0
101200000210000002000000000000000000000000,2
101200000210000002000000100000000000000000,3
101200000210000022000000100000000000000000,2
101200100210000022000000100000000000000000,6
101200100210000022000002100000000000000000,2
101200100210000022000002100000100000000000,2
101202100210000022000002100000100000000000,5
101202100210010022000002100000100000000000,6
101202100210210022000002100000100000000000,5
101202100210210022001002100000100000000000,6
101202100210210022001002100200100000000000,6
101202110210210022001002100200100000000000,0
101202110210212022001002100200100000000000,0
101212110210212022001002100200100000000000,4
101212110212212022001002100200100000000000,4
000100000000000000000000000000000000000000,3
002100000000000000000000000000000000000000,2
002100000010000000000000000000000000000000,3
002100000010000002000000000000000000000000,3
002101000010000002000000000000000000000000,5
002101200010000002000000000000000000000000,6
002101200010010002000000000000000000000000,6
022101200010010002000000000000000000000000,1
022101200110010002000000000000000000000000,2
022101202110010002000000000000000000000000,1
022101202110110002000000000000000000000000,5
022101202110110022000000000000000000000000,2
022101202110110022010000000000000000000000,5
022101202110110022010000002000000000000000,5
022101202110110122010000002000000000000000,1
222101202110110122010000002000000000000000,0
222101202110110122010000102000000000000000,3
222101202110110122010002102000000000000000,2
222101202110110122010002102000100000000000,2
222101202110110122012002102000100000000000,6
222101212110110122012002102000100000000000,0
222101212110112122012002102000100000000000,0
222101212110112122012102102000100000000000,0
000100000000000000000000000000000000000000,3
000100200000000000000000000000000000000000,6
100100200000000000000000000000000000000000,0
120100200000000000000000000000000000000000,1
120100200010000000000000000000000000000000,3
120100202010000000000000000000000000000000,1
120100202010000100000000000000000000000000,1
120100202010020100000000000000000000000000,6
120100202010020100001000000000000000000000,6
120100202010020100001020000000000000000000,1
120100202010020101001020000000000000000000,3
120100202010020101001020200000000000000000,3
120100202010020101001020200100000000000000,6
120100202010020101001020200100000020000000,6
121100202010020101001020200100000020000000,2
121102202010020101001020200100000020000000,5
121102202010120101001020200100000020000000,5
121102202210120101001020200100000020000000,2
121102202210120101011020200100000020000000,5
121122202210120101011020200100000020000000,4
121122202211120101011020200100000020000000,4
100000000000000000000000000000000000000000,0
102000000000000000000000000000000000000000,2
102100000000000000000000000000000000000000,3
102100200000000000000000000000000000000000,6
102100200010000000000000000000000000000000,3
102100200010000002000000000000000000000000,3
102100210010000002000000000000000000000000,0
102102210010000002000000000000000000000000,5
102102210010001002000000000000000000000000,0
102102210010001002000200000000000000000000,0
102102210010001002000200100000000000000000,3
102102210210001002000200100000000000000000,2
102102210210011002000200100000000000000000,6
102102210210211002000200100000000000000000,5
102102210210211012000200100000000000000000,2
102102210210211012020200100000000000000000,5
102102210210211012020200101000000000000000,5
102102210210211012020202101000000000000000,2
102102210210211012020202101000000100000000,5
102102210210211012022202101000000100000000,6
102102210210211012022202101000000100000010,5
102102210210211012022202101020000100000010,0
112102210210211012022202101020000100000010,1
112102212210211012022202101020000100000010,1
112102212210211012022202101020100100000010,2
112102212210211012022202101020120100000010,3
112102212210211012022202101020120100010010,2
112102212210211012022202101220120100010010,6
112102212210211012022202101220120100011010,3
112102212210211212022202101220120100011010,1
112102212210211212022212101220120100011010,1
010000000000000000000000000000000000000000,1
010000002000000000000000000000000000000000,1
010010002000000000000000000000000000000000,4
010210002000000000000000000000000000000000,3
010210002010000000000000000000000000000000,3
010210002012000000000000000000000000000000,4
010210002012000001000000000000000000000000,3
010210002012000001000000200000000000000000,3
010211002012000001000000200000000000000000,5
010211002012000001200000200000000000000000,4
010211002012000001200000210000000000000000,4
010211202012000001200000210000000000000000,6
010211202012100001200000210000000000000000,5
010211202012100001220000210000000000000000,5
010211202012100001220000210000001000000000,4
010211202012100001220000212000001000000000,5
010211202012100101220000212000001000000000,1
010211202012100101220000212000001200000000,5
010211202012100101220000212000001200000010,5
010211202012100101220020212000001200000010,1
011211202012100101220020212000001200000010,2
011211202212100101220020212000001200000010,2
011211202212100111220020212000001200000010,2
011211202212100111220020212000021200000010,3
011211202212100111220020212000021200000110,4
011211202212100111220020212000021200002110,3
111211202212100111220020212000021200002110,0
111211202212120111220020212000021200002110,6
111211202212120111220021212000021200002110,2
111211202212120111220021212000221200002110,2
111211202212120111220021212000221200012110,2
111211202212120111222021212000221200012110,6
111211202212120111222021212100221200012110,6
111211202212120111222021212100221220012110,6
111211202212120111222021212100221220012111,6
111211202212120111222021212102221220012111,1
111211202212120111222021212102221220112111,1
111211222212120111222021212102221220112111,0
111211222212121111222021212102221220112111,0
000100000000000000000000000000000000000000,3
000100000020000000000000000000000000000000,3
010100000020000000000000000000000000000000,1
012100000020000000000000000000000000000000,2
012100100020000000000000000000000000000000,6
012120100020000000000000000000000000000000,4
012120100020010000000000000000000000000000,6
012120100020010000002000000000000000000000,6
012120100021010000002000000000000000000000,4
012120100021010002002000000000000000000000,3
012120100021010002102000000000000000000000,4
012120100021010002102000200000000000000000,3
012120100021010002102000200000010000000000,3
012120100021010002102000220000010000000000,4
012120100021010002102000220100010000000000,6
012120102021010002102000220100010000000000,1
012121102021010002102000220100010000000000,5
012121102021210002102000220100010000000000,5
